SAV,INDICATOR_CODE,value_2016,value_2025,year_2025,index_2016,index_2025
Alytaus m. sav.,NL,10.3,,,2.0,
Alytaus m. sav.,IBD,39.6,,,2.0,
Alytaus m. sav.,LLS,16.2,,,2.0,
Alytaus m. sav.,MPM,13.4,,,3.0,
Alytaus m. sav.,MMA,78.5,,,3.0,
Alytaus m. sav.,EIS,2.88,,,1.0,
Alytaus m. sav.,VTP,88.7,,,3.0,
Alytaus m. sav.,KGP,0.0,,,1.0,
Alytaus m. sav.,OUP,0.04,,,3.0,
Alytaus m. sav.,KPD,75.0,,,3.0,
Alytaus m. sav.,GVT,98.0,,,3.0,
Alytaus m. sav.,VBN,99.0,,,3.0,
Alytaus m. sav.,CTS,36.0,,,2.0,
Alytaus m. sav.,NZP,49.0,,,2.0,
Alytaus m. sav.,VTD,0.00,,,1.0,
Alytaus m. sav.,OIT,502.23,,,3.0,
Alytaus m. sav.,EDD,,,,,
Alytaus m. sav.,NDU,545.0,,,2.0,
Alytaus m. sav.,TUI,1.5,,,1.0,
Alytaus m. sav.,MIG,1.1,,,1.0,
Alytaus m. sav.,PVG,4.6,,,2.0,
Alytaus m. sav.,UGD,50.2,,,3.0,
Alytaus m. sav.,NM,-0.03,,,1.0,
Alytaus m. sav.,SLD,4.6,,,2.0,
Alytaus m. sav.,DAG,63.0,,,2.0,
Alytaus m. sav.,PAG,23.0,,,2.0,
Alytaus m. sav.,USS,5.1,,,2.0,
Alytaus m. sav.,GSM,-23.86,,,1.0,
Alytaus m. sav.,GSK,,,,,
Alytaus m. sav.,KGD,,,,,
Alytaus m. sav.,M,33.0,,,2.0,
Alytaus m. sav.,ZNP,15.0,,,1.0,
Alytaus m. sav.,RIP,4.36,,,1.0,
Alytaus m. sav.,NII,0.0,,,1.0,
Alytaus m. sav.,INI,,,,,
Alytaus m. sav.,PVI,14.3,,,1.0,
Alytaus m. sav.,KNI,0.00,,,1.0,
Alytaus m. sav.,NG,,,,,
Alytaus m. sav.,PVA,0.0,,,1.0,
Alytaus m. sav.,STP,10.0,,,3.0,
Alytaus m. sav.,KPO,31.5,,,3.0,
Alytaus r. sav.,NL,13.1,,,1.0,
Alytaus r. sav.,IBD,49.1,,,1.0,
Alytaus r. sav.,LLS,85.6,,,3.0,
Alytaus r. sav.,MPM,19.1,,,3.0,
Alytaus r. sav.,MMA,72.7,,,2.0,
Alytaus r. sav.,EIS,0.78,,,3.0,
Alytaus r. sav.,VTP,39.7,,,2.0,
Alytaus r. sav.,KGP,0.0,,,1.0,
Alytaus r. sav.,OUP,0.04,,,3.0,
Alytaus r. sav.,KPD,34.0,,,2.0,
Alytaus r. sav.,GVT,27.0,,,1.0,
Alytaus r. sav.,VBN,15.0,,,1.0,
Alytaus r. sav.,CTS,,,,,
Alytaus r. sav.,NZP,45.0,,,1.0,
Alytaus r. sav.,VTD,56.00,,,2.0,
Alytaus r. sav.,OIT,269.46,,,3.0,
Alytaus r. sav.,EDD,1.8,,,2.0,
Alytaus r. sav.,NDU,502.0,,,1.0,
Alytaus r. sav.,TUI,1.0,,,1.0,
Alytaus r. sav.,MIG,0.7,,,1.0,
Alytaus r. sav.,PVG,1.5,,,1.0,
Alytaus r. sav.,UGD,42.5,,,2.0,
Alytaus r. sav.,NM,0.0,,,2.0,
Alytaus r. sav.,SLD,6.3,,,2.0,
Alytaus r. sav.,DAG,59.0,,,1.0,
Alytaus r. sav.,PAG,27.0,,,1.0,
Alytaus r. sav.,USS,2.7,,,1.0,
Alytaus r. sav.,GSM,-28.21,,,1.0,
Alytaus r. sav.,GSK,-16.0,,,2.0,
Alytaus r. sav.,KGD,6.48,,,3.0,
Alytaus r. sav.,M,25.0,,,2.0,
Alytaus r. sav.,ZNP,57.0,,,3.0,
Alytaus r. sav.,RIP,5.53,,,1.0,
Alytaus r. sav.,NII,21.0,,,1.0,
Alytaus r. sav.,INI,,,,,
Alytaus r. sav.,PVI,14.3,,,1.0,
Alytaus r. sav.,KNI,202.00,,,1.0,
Alytaus r. sav.,NG,,,,,
Alytaus r. sav.,PVA,8.5,,,2.0,
Alytaus r. sav.,STP,12.0,,,3.0,
Alytaus r. sav.,KPO,5.9,,,1.0,
Druskininkų sav.,NL,9.9,,,2.0,
Druskininkų sav.,IBD,38.7,,,2.0,
Druskininkų sav.,LLS,83.8,,,3.0,
Druskininkų sav.,MPM,13.0,,,3.0,
Druskininkų sav.,MMA,75.8,,,2.0,
Druskininkų sav.,EIS,0.4,,,3.0,
Druskininkų sav.,VTP,30.6,,,2.0,
Druskininkų sav.,KGP,0.0,,,1.0,
Druskininkų sav.,OUP,0.07,,,2.0,
Druskininkų sav.,KPD,35.0,,,2.0,
Druskininkų sav.,GVT,86.0,,,3.0,
Druskininkų sav.,VBN,82.0,,,3.0,
Druskininkų sav.,CTS,32.0,,,2.0,
Druskininkų sav.,NZP,81.0,,,3.0,
Druskininkų sav.,VTD,45.00,,,2.0,
Druskininkų sav.,OIT,452.43,,,3.0,
Druskininkų sav.,EDD,2.3,,,2.0,
Druskininkų sav.,NDU,497.0,,,1.0,
Druskininkų sav.,TUI,1.9,,,1.0,
Druskininkų sav.,MIG,1.1,,,1.0,
Druskininkų sav.,PVG,4.1,,,2.0,
Druskininkų sav.,UGD,47.1,,,3.0,
Druskininkų sav.,NM,-0.01,,,2.0,
Druskininkų sav.,SLD,6.1,,,2.0,
Druskininkų sav.,DAG,61.0,,,2.0,
Druskininkų sav.,PAG,26.0,,,2.0,
Druskininkų sav.,USS,5.2,,,2.0,
Druskininkų sav.,GSM,-27.46,,,1.0,
Druskininkų sav.,GSK,-0.5,,,2.0,
Druskininkų sav.,KGD,10.94,,,2.0,
Druskininkų sav.,M,69.0,,,3.0,
Druskininkų sav.,ZNP,18.0,,,1.0,
Druskininkų sav.,RIP,7.92,,,3.0,
Druskininkų sav.,NII,5.0,,,1.0,
Druskininkų sav.,INI,,,,,
Druskininkų sav.,PVI,26.1,,,2.0,
Druskininkų sav.,KNI,44.00,,,1.0,
Druskininkų sav.,NG,,,,,
Druskininkų sav.,PVA,4.0,,,1.0,
Druskininkų sav.,STP,7.0,,,2.0,
Druskininkų sav.,KPO,5.9,,,1.0,
