SAV,APSKRITIS,EK_2016,EK_2025,EK_2026_projected,EK_delta_2016_2025,EK_2025_coverage,SO_EK_2016,SO_EK_2025,SO_EK_2026_projected,SO_EK_delta_2016_2025,SO_EK_2025_coverage,SO_2016,SO_2025,SO_2026_projected,SO_delta_2016_2025,SO_2025_coverage,SO_AP_2016,SO_AP_2025,SO_AP_2026_projected,SO_AP_delta_2016_2025,SO_AP_2025_coverage,AP_2016,AP_2025,AP_2026_projected,AP_delta_2016_2025,AP_2025_coverage,EK_AP_2016,EK_AP_2025,EK_AP_2026_projected,EK_AP_delta_2016_2025,EK_AP_2025_coverage,VID_2016,VID_2025,VID_2026_projected,VID_delta_2016_2025
Alytaus m. sav.,Alytaus,1.8,,1.6,,0/13,2.38,,2.23,,0/14,2.08,,1.92,,0/15,2.4,,2.2,,0/8,2.1,,2.1,,0/11,2.0,,2.25,,0/4,2.1266666666666665,,2.0500000000000003,
Alytaus r. sav.,Alytaus,1.2,,1.5,,0/13,1.5,,1.5,,0/14,1.93,,1.87,,0/15,1.5,,1.25,,0/8,1.8,,1.6,,0/11,2.33,,2.0,,0/4,1.71,,1.6199999999999999,
Druskininkų sav.,Alytaus,1.7,,2.2,,0/13,2.0,,2.23,,0/14,2.27,,2.33,,0/15,2.6,,2.4,,0/8,2.25,,2.17,,0/11,2.25,,2.5,,0/4,2.1783333333333332,,2.305,
Lazdijų r. sav.,Alytaus,1.0,,1.3,,0/13,1.15,,1.23,,0/14,1.93,,2.7,,0/15,1.6,,1.6,,0/8,2.0,,1.92,,0/11,1.75,,1.5,,0/4,1.5716666666666665,,1.7083333333333333,
Varėnos r. sav.,Alytaus,1.3,,1.4,,0/13,1.69,,1.69,,0/14,2.13,,2.13,,0/15,2.0,,2.0,,0/8,2.17,,2.17,,0/11,1.5,,1.5,,0/4,1.7983333333333331,,1.8150000000000002,
Birštono sav.,Kauno,1.5,,1.9,,0/13,1.92,,2.0,,0/14,2.8,,2.23,,0/15,2.0,,2.0,,0/8,2.9,,2.27,,0/11,2.25,,2.75,,0/4,2.2283333333333335,,2.191666666666667,
Jonavos r. sav.,Kauno,1.9,,1.7,,0/13,2.15,,2.15,,0/14,1.93,,1.93,,0/15,2.0,,2.0,,0/8,1.67,,1.58,,0/11,2.25,,2.0,,0/4,1.9833333333333332,,1.8933333333333333,
Kaišiadorių r. sav.,Kauno,1.7,,1.6,,0/13,2.15,,1.92,,0/14,2.13,,1.87,,0/15,2.2,,2.0,,0/8,1.75,,1.5,,0/11,2.0,,1.5,,0/4,1.9883333333333333,,1.7316666666666667,
Kauno m. sav.,Kauno,2.6,,2.5,,0/13,2.92,,2.92,,0/14,2.0,,2.0,,0/15,2.6,,2.6,,0/8,2.09,,2.18,,0/11,2.75,,3.0,,0/4,2.493333333333333,,2.533333333333333,
Kauno r. sav.,Kauno,2.2,,2.3,,0/13,2.31,,2.31,,0/14,2.4,,2.27,,0/15,2.0,,1.8,,0/8,1.92,,1.83,,0/11,2.5,,2.5,,0/4,2.2216666666666667,,2.168333333333333,
