SAV;16EK;16SO_EK;16SO;16SO_AP;16AP;16EK_AP;16VID;26EK;26SO_EK;26SO;26SO_AP;26AP;26EK_AP;26VID
Alytaus m. sav.;1.80;2.38;02.08;2.40;02.10;2.00;02.13;1.60;2.23;1.92;2.20;2.10;2.25;02.05
Alytaus r. sav.;1.20;1.50;1.93;1.50;1.80;2.33;1.71;1.50;1.50;1.87;1.25;1.60;2.00;1.62
Druskininkų sav.;1.70;2.00;2.27;2.60;2.25;2.25;2.18;2.20;2.23;2.33;2.40;2.17;2.50;2.31
Lazdijų r. sav.;1.00;01.15;1.93;1.60;2.00;1.75;1.57;1.30;1.23;2.7;1.60;1.92;1.50;1.60
Varėnos r. sav.;1.30;1.69;2.13;2.00;2.17;1.50;1.80;1.40;1.69;2.13;2.00;2.17;1.50;1.82
Birštono sav.;1.50;1.92;2.8;2.00;2.9;2.25;1.97;1.90;2.00;2.23;2.00;2.27;2.75;2.19
Jonavos r. sav.;1.90;2.15;1.93;2.00;1.67;2.25;1.98;1.70;02.15;1.93;2.00;1.58;2.00;1.90
Kaišiadorių r. sav.;1.70;2.15;2.13;2.20;1.75;2.00;1.99;1.60;1.92;1.87;2.00;1.50;1.50;1.73
Kauno m. sav.;2.60;2.92;2.00;2.60;02.09;2.75;2.49;2.50;2.92;2.00;2.60;2.18;3.00;2.53
Kauno r. sav.;2.20;2.31;2.40;2.00;1.92;2.50;2.22;2.30;2.31;2.27;1.80;1.83;2.50;2.17
Kėdainių r. sav.;1.80;1.92;1.86;1.80;1.64;2.00;1.84;2.00;2.00;1.79;1.80;1.64;2.00;1.87
Prienų r. sav.;1.50;1.69;2.27;1.60;1.67;1.75;1.75;1.30;1.46;02.07;1.60;1.58;1.50;1.59
Raseinių r. sav.;1.20;1.54;1.87;1.80;1.42;1.50;1.55;1.50;1.54;1.73;1.60;1.33;1.50;1.53
Klaipėdos m. sav.;2.70;2.77;1.93;2.60;1.73;1.75;2.25;2.60;2.85;1.93;2.40;1.82;2.25;2.31
Klaipėdos r. sav.;2.40;2.38;2.40;2.60;2.25;2.75;2.46;2.60;2.46;2.53;2.60;2.25;2.75;2.53
Kretingos r. sav.;1.80;1.92;2.33;1.50;2.00;2.67;02.04;1.70;1.75;2.20;1.50;1.80;2.00;1.83
Neringos sav.;2.30;2.00;2.29;2.75;2.88;3.00;2.54;2.30;2.00;2.31;2.50;2.71;3.00;2.47
Palangos m. sav.;2.10;2.42;1.93;2.75;2.00;2.67;2.31;2.20;2.25;1.93;3.00;2.22;3.00;2.43
Skuodo r. sav.;1.20;1.54;2.20;1.80;1.83;1.50;1.68;1.50;1.62;2.00;1.60;1.67;1.50;1.65
Šilutės r. sav.;1.30;1.38;1.93;2.20;1.83;1.75;1.73;1.60;1.62;2.00;2.00;1.75;1.75;1.79
Kalvarijos sav.;1.30;1.50;2.00;1.50;1.60;1.67;1.59;1.40;1.50;1.93;1.50;1.60;1.67;1.60
Kazlų Rūdos sav.;1.70;1.77;1.80;1.40;1.58;1.75;1.67;1.80;1.77;1.87;1.40;1.58;1.75;1.69
Marijampolės sav.;1.80;2.23;2.7;2.20;1.75;2.00;02.01;1.90;2.31;2.20;2.20;1.75;2.00;2.6
Šakių r. sav.;1.30;1.46;1.87;1.80;1.42;1.50;1.56;1.40;1.46;1.80;1.60;1.25;1.50;1.50
Vilkaviškio r. sav.;1.20;1.69;1.93;1.80;1.50;1.50;1.60;1.30;1.77;1.87;1.80;1.50;1.50;1.62
Biržų r. sav.;1.20;1.31;1.73;1.40;1.75;1.75;1.52;1.20;1.31;1.73;1.40;1.75;1.75;1.52
Kupiškio r. sav.;1.20;1.54;1.60;1.80;1.42;1.50;1.51;1.00;1.38;1.47;1.80;1.50;1.75;1.48
Panevėžio m. sav.;2.20;2.54;1.86;2.20;1.55;1.75;02.02;2.00;2.54;1.93;2.20;1.73;2.25;2.11
Panevėžio r. sav.;1.60;1.92;1.80;2.50;2.10;2.67;2.10;1.80;2.00;1.80;2.25;1.80;2.00;1.94
Pasvalio r. sav.;1.20;1.54;1.60;1.80;1.25;1.50;1.48;1.50;1.69;1.67;1.80;1.25;1.50;1.57
Rokiškio r. sav.;1.30;1.69;1.67;1.80;1.50;1.50;1.58;1.60;1.69;1.73;1.80;1.58;1.75;1.69
Akmenės r. sav.;1.60;1.73;1.93;1.33;1.50;1.25;1.56;1.80;1.73;1.93;1.33;1.50;1.25;1.59
Joniškio r. sav.;1.30;1.46;1.93;1.80;1.64;1.75;1.65;1.40;1.54;1.79;1.60;1.36;1.50;1.53
Kelmės r. sav.;1.10;1.46;1.87;2.00;1.67;1.50;1.60;1.10;1.46;1.73;1.80;1.50;1.50;1.52
Pakruojo r. sav.;1.20;1.62;1.86;2.00;1.55;1.50;1.62;1.40;1.62;1.71;1.80;1.45;1.50;1.58
Radviliškio r. sav.;1.30;1.85;1.87;2.00;1.50;1.75;1.71;1.50;1.85;1.80;2.00;1.50;1.75;1.73
Šiaulių m. sav.;2.10;2.54;1.93;2.40;1.91;2.00;2.15;2.10;2.69;2.7;2.20;2.00;2.50;2.26
Šiaulių r. sav.;1.70;1.77;2.13;1.60;2.00;2.50;1.95;1.70;1.69;2.00;1.40;1.83;2.25;1.81
Jurbarko r. sav.;1.00;1.31;1.93;1.80;1.58;1.50;1.52;1.20;1.38;2.00;1.80;1.67;1.75;1.63
Pagėgių sav.;1.40;1.33;2.00;2.00;1.90;2.00;1.77;1.50;1.42;2.00;1.75;1.60;1.67;1.66
Šilalės r. sav.;1.40;1.62;2.27;2.00;1.75;1.75;1.80;1.50;1.62;2.20;2.00;1.67;1.50;1.75
Tauragės r. sav.;1.30;1.46;2.00;1.80;2.00;1.75;1.72;1.70;1.62;2.00;1.60;1.92;1.75;1.76
