SAV,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Alytaus m. sav.,10.3,4.8,2,39.6,3.6,2,16.2,4.5,2,13.4,7.1,3,2.88,2.4,1,88.7,10.0,3,0%,0.0,1,1:04,7.7,3,98,9.8,3,49,3.5,2,0,0.0,1,502.23,7.7,3,99,9.9,3,36,6.2,2,545.0,4.0,2,1.5,2.4,1,1.1,2.6,1,4.6,4.4,2,50.2,8.3,3,-2.70%,0.6,1,4.6,3.4,2,63%,5.5,2,23%,5.7,2,5.1,6.4,2,-23.86,2.7,1,n,,,n,,,75,10.0,3,33,4.6,2,15,1.9,1,4.36,1.4,1,10,7.1,3,31.5,10.0,3,0.0,0.0,1,,,,14.3,2.0,1,0.0,0.0,1,,,,0.0,0.0,1,78.5,8.1,3,n,,
Alytaus r. sav.,13.1,2.2,1,49.1,2.0,1,85.6,7.6,3,19.1,7.2,3,0.78,8.2,3,39.7,6.2,2,0%,0.0,1,1:04,7.7,3,27,1.5,1,45,2.9,1,56,5.6,2,269.46,8.9,3,15,0.4,1,n,,,502.0,2.2,1,1.0,1.6,1,0.7,1.3,1,1.5,0.5,1,42.5,5.1,2,-0.10%,6.2,2,6.3,5.9,2,59%,1.8,1,27%,2.9,1,2.7,1.6,1,-28.21,1.3,1,-16,3.4,2,6.48,8.0,3,34,3.8,2,25,3.4,2,57,7.3,3,5.53,3.2,1,12,7.8,3,5.9,2.8,1,21.0,1.0,1,,,,14.3,2.0,1,202.0,2.3,1,,,,8.5,6.5,2,72.7,4.4,2,1.8,5.6,2
Druskininkų sav.,9.9,5.2,2,38.7,3.8,2,83.8,7.8,3,13,6.7,3,0.4,9.2,3,30.6,4.4,2,0%,0.0,1,1:39,6.1,2,86,8.4,3,81,7.7,3,45,4.5,2,452.43,8.0,3,82,8.0,3,32,5.5,2,497.0,2.0,1,1.9,3.0,1,1.1,2.6,1,4.1,3.8,2,47.1,7.0,3,-1.20%,3.8,2,6.1,5.6,2,61%,3.6,2,26%,3.6,2,5.2,6.6,2,-27.46,1.5,1,-0.5,6.2,2,10.94,6.6,2,35,4.0,2,69,10.0,3,18,2.3,1,7.92,6.7,3,7,6.1,2,5.9,2.8,1,5.0,0.2,1,,,,26.1,3.8,2,44.0,0.5,1,,,,4.0,3.1,1,75.8,6.4,2,2.3,4.2,2
Lazdijų r. sav.,15,0.4,1,60.2,0.0,1,54.5,8.9,3,15.6,9.3,3,0.84,8.0,3,25.6,3.4,2,5%,1.2,1,1:43,5.9,2,14,0.0,1,58,4.7,2,69,6.9,3,130.73,9.6,3,11,0.0,1,6,0.7,1,456.4,0.2,1,0.0,0.0,1,0.4,0.3,1,1.1,0.0,1,41.1,4.5,2,-1.70%,2.8,1,5.1,4.1,2,59%,1.8,1,27%,2.9,1,2.4,1.0,1,-20.89,3.7,2,-26,1.6,1,11.47,6.5,2,29,2.7,1,36,5.1,2,46,5.9,2,7.69,6.4,2,24,8.0,3,4.8,1.9,1,11.0,0.5,1,,,,1.0,0.0,1,105.0,1.2,1,,,,0.0,0.0,1,68,1.5,1,0.9,8.1,3
Varėnos r. sav.,10,5.1,2,27.8,5.7,2,60.7,9.6,3,19.4,6.9,3,1.23,6.9,3,23.2,3.0,1,19%,4.5,2,1:07,7.5,3,83,8.0,3,79,7.5,3,76,7.6,3,424.79,8.1,3,65,6.1,2,20,3.3,1,495.7,1.9,1,0.1,0.2,1,0.6,1.0,1,1.9,1.0,1,40.0,4.0,2,-1.50%,3.2,1,4.4,3.1,1,59%,1.8,1,28%,2.1,1,2.9,2.0,1,-19.07,4.3,2,-29.9,0.9,1,13.98,5.7,2,30,2.9,1,69,10.0,3,21,2.7,1,5.69,3.4,2,35,4.2,2,4,1.3,1,219.0,10.0,3,,,,12.6,1.7,1,103.0,1.2,1,,,,2.9,2.2,1,71.9,3.9,2,0.9,8.1,3
Birštono sav.,5.6,9.2,3,57,0.6,1,,,,12.6,6.3,2,0.12,10.0,3,48.2,7.8,3,0%,0.0,1,0:55,8.1,3,68,6.3,2,62,5.2,2,0,0.0,1,90.56,9.8,3,63,5.8,2,22,3.6,2,496.0,1.9,1,0.1,0.2,1,1.6,4.2,2,2.6,1.9,1,39.3,3.8,2,-1.60%,3.0,1,12.5,10.0,3,60%,2.7,1,27%,2.9,1,4.1,4.4,2,-23.75,2.7,1,-15,3.6,2,12.24,6.2,2,46,6.4,2,47,6.7,3,36,4.6,2,7.26,5.8,2,82,0.0,1,9.2,5.4,2,0.0,0.0,1,,,,12.0,1.7,1,2.0,0.0,1,,,,0.9,0.7,1,73.6,5.0,2,6.6,0.0,1
Jonavos r. sav.,9.4,5.7,2,30.8,5.2,2,41.8,7.4,3,15,8.7,3,1,7.6,3,32.9,4.9,2,9%,2.1,1,1:16,7.1,3,88,8.6,3,52,3.9,2,28,2.8,1,3002.81,0.0,1,82,8.0,3,32,5.5,2,605.0,6.6,2,0.2,0.3,1,1.6,4.2,2,5.4,5.4,2,42.1,4.9,2,-1.00%,4.3,2,4.9,3.8,2,61%,3.6,2,22%,6.4,2,3,2.2,1,-18.27,4.6,2,-16,3.4,2,23.05,2.9,1,31,3.1,1,42,6.0,2,46,5.9,2,3.85,0.7,1,4,5.0,2,5.5,2.5,1,112.0,5.1,2,,,,27.8,4.0,2,1039.0,10.0,3,,,,4.8,3.7,2,78,7.8,3,1.5,6.4,2
Kaišiadorių r. sav.,7,7.9,3,41.1,3.4,2,42.5,7.5,3,15.2,8.9,3,1.25,6.9,3,14.6,1.3,1,30%,7.1,3,0:30,9.2,3,95,9.4,3,49,3.5,2,24,2.4,1,489.32,7.8,3,82,8.0,3,16,2.5,1,533.0,3.5,2,0.1,0.2,1,0.8,1.6,1,2.4,1.6,1,48.0,7.4,3,-1.20%,3.8,2,4.6,3.4,2,64%,6.4,2,22%,6.4,2,2.9,2.0,1,-17.7,4.8,2,-16,3.4,2,19.64,4.0,2,32,3.3,2,33,4.6,2,52,6.7,3,4.49,1.6,1,14,8.5,3,5.7,2.6,1,51.0,2.3,1,,,,26.8,3.9,2,104.0,1.2,1,,,,3.7,2.8,1,74.9,5.8,2,2.6,3.3,2
Kauno m. sav.,6.7,8.2,3,21.6,6.8,3,152,0.0,1,11.9,5.6,2,1.74,5.5,2,92.4,10.0,3,98%,10.0,3,0:21,9.6,3,92,9.1,3,40,2.3,1,10,1.0,1,5369.12,0.0,1,89,8.8,3,40,6.9,3,607.0,6.7,3,4.0,6.3,2,2.1,5.8,2,7.4,8.0,3,50.6,8.5,3,-1.40%,3.4,2,9.1,10.0,3,61%,3.6,2,24%,5.0,2,7.5,10.0,3,-21.4,3.5,2,n,,,n,,,62,10.0,3,18,2.4,1,13,1.7,1,7.22,5.7,2,13,8.1,3,189.5,10.0,3,0.0,0.0,1,,,,301.7,10.0,3,0.0,0.0,1,,,,61.0,10.0,3,77,7.1,3,n,,
Kauno r. sav.,6.3,8.6,3,23.8,6.4,2,17.8,4.7,2,13.5,7.2,3,0.9,7.8,3,42.1,6.7,2,18%,4.3,2,0:21,9.6,3,62,5.6,2,45,2.9,1,15,1.5,1,452.68,8.0,3,52,4.6,2,2,0.0,1,568.0,5.0,2,1.5,2.4,1,1.8,4.8,2,4.0,3.7,2,45.5,6.3,2,1.70%,10.0,3,16.9,10.0,3,64%,6.4,2,19%,8.6,3,4.4,5.0,2,-25.95,2.0,1,20.6,10.0,3,7.34,7.7,3,40,5.1,2,33,4.6,2,51,6.5,2,6.2,4.2,2,15,8.8,3,5.1,2.2,1,146.0,6.7,3,,,,16.5,2.3,1,1219.0,10.0,3,,,,2.7,2.1,1,76.4,6.8,3,2.1,4.7,2
